date,iso_a3,currency_code,country,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_dollar,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
06/01/05,HKG,HKD,Hong Kong,12,7.7807,1.542277687,-0.49599,-0.56957,-0.55172,-0.34166,0.21567,,,,,,,
06/01/05,HUN,HUF,Hungary,530,203.643,2.602593755,-0.14948,-0.27365,-0.24352,0.11094,1.05144,,,,,,,
06/01/05,IDN,IDR,Indonesia,14600,9545,1.529596647,-0.50013,-0.57311,-0.5554,-0.34708,0.20567,,,,,,,
06/01/05,JPN,JPY,Japan,250,106.715,2.342688469,-0.23442,-0.34619,-0.31907,0,0.84657,,,,,,,
06/01/05,KOR,KRW,South Korea,2500,1005.5,2.486325211,-0.18748,-0.3061,-0.27732,0.06131,0.95979,,,,,,,
06/01/05,LKA,LKR,Sri Lanka,175,99.945,1.75096303,-0.42779,-0.51133,-0.49106,-0.25258,0.38016,,,,,,,
06/01/05,MEX,MXN,Mexico,28,10.8675,2.576489533,-0.15801,-0.28094,-0.25111,0.0998,1.03086,,,,,,,
06/01/05,MYS,MYR,Malaysia,5.25,3.8,1.381578947,-0.5485,-0.61442,-0.59842,-0.41026,0.089,,,,,,,
06/01/05,NOR,NOK,Norway,39,6.4326,6.06286727,0.98133,0.69206,0.76226,1.588,3.77893,,,,,,,
06/01/05,NZL,NZD,New Zealand,4.45,1.4023,3.173358055,0.03705,-0.11436,-0.07762,0.35458,1.50133,,,,,,,
06/01/05,PAK,PKR,Pakistan,130,59.62,2.18047635,-0.28743,-0.39146,-0.36621,-0.06924,0.71871,,,,,,,
06/01/05,PER,PEN,Peru,8.99,3.2546,2.762244208,-0.09731,-0.2291,-0.19712,0.17909,1.17728,,,,,,,
06/01/05,PHL,PHP,Philippines,80,54.55,1.466544455,-0.52074,-0.59071,-0.57373,-0.37399,0.15597,,,,,,,
06/01/05,POL,PLN,Poland,6.5,3.3096,1.963983563,-0.35818,-0.45188,-0.42914,-0.16165,0.54807,,,,,,,
06/01/05,RUS,RUB,Russia,42,28.4055,1.478586893,-0.5168,-0.58735,-0.57023,-0.36885,0.16546,,,,,,,
06/01/05,SAU,SAR,Saudi Arabia,9,3.7501,2.399936002,-0.21571,-0.33021,-0.30243,0.02444,0.8917,,,,,,,
06/01/05,SGP,SGD,Singapore,3.6,1.6607,2.167760583,-0.29158,-0.39501,-0.36991,-0.07467,0.70869,,,,,,,
06/01/05,SWE,SEK,Sweden,31,7.4402,4.166554663,0.36162,0.16282,0.21107,0.77854,2.2842,,,,,,,
06/01/05,THA,THB,Thailand,60,40.53,1.4803849,-0.51621,-0.58685,-0.56971,-0.36808,0.16688,,,,,,,
06/01/05,TUR,TRY,Turkey,4,1.369,2.92184076,-0.04515,-0.18456,-0.15073,0.24722,1.30308,,,,,,,
06/01/05,TWN,TWD,Taiwan,75,31.175,2.405773857,-0.2138,-0.32858,-0.30073,0.02693,0.8963,,,,,,,
06/01/05,UKR,UAH,Ukraine,7.25,5.06,1.432806324,-0.53176,-0.60012,-0.58353,-0.38839,0.12938,,,,,,,
06/01/05,URY,UYU,Uruguay,44,24.125,1.823834197,-0.40398,-0.49099,-0.46988,-0.22148,0.4376,,,,,,,
06/01/05,USA,USD,United States,3.06,1,3.06,0,-0.146,-0.11057,0.30619,1.41198,,,,,,,
06/01/05,VEN,VEF,Venezuela,5600,2629.62,2.129585263,-0.30406,-0.40566,-0.38101,-0.09097,0.6786,,,,,,,
06/01/05,ZAF,ZAR,South Africa,13.95,6.6482,2.098312325,-0.31428,-0.41439,-0.3901,-0.10431,0.65395,,,,,,,
01/01/06,ARG,ARS,Argentina,4.75,3.0638,1.550362295,-0.50782,-0.55878,-0.53248,-0.29114,0.19069,,,,,,,
01/01/06,AUS,AUD,Australia,3.25,1.3308,2.442140066,-0.22472,-0.30499,-0.26356,0.1166,0.87559,,,,,,,
01/01/06,BRA,BRL,Brazil,6.2,2.2615,2.741543224,-0.12967,-0.21978,-0.17327,0.25349,1.10553,,,,,,,
01/01/06,CAN,CAD,Canada,3.52,1.1704,3.007518797,-0.04523,-0.14409,-0.09306,0.3751,1.3098,,,,,,,
01/01/06,CHE,CHF,Switzerland,6.3,1.2776,4.931120852,0.56544,0.40335,0.48701,1.25461,2.78715,,,,,,,
01/01/06,CHL,CLP,Chile,1560,522.75,2.984218077,-0.05263,-0.15072,-0.10009,0.36444,1.29191,,,,,,,
01/01/06,CHN,CNY,China,10.5,8.0641,1.302067187,-0.58665,-0.62944,-0.60735,-0.40467,0,,,,,,,
01/01/06,CZE,CZK,Czech Republic,62,23.8375,2.600943891,-0.1743,-0.2598,-0.21567,0.1892,0.99755,,,,,,,
01/01/06,DNK,DKK,Denmark,27.75,6.1769,4.492544804,0.4262,0.27853,0.35475,1.05408,2.45032,,,,,,,
01/01/06,EGY,EGP,Egypt,9.25,5.74,1.611498258,-0.48841,-0.54138,-0.51404,-0.26319,0.23765,,,,,,,
01/01/06,EUZ,EUR,Euro area,2.91,0.82815735,3.513825,0.1155,0,0.05962,0.60659,1.69865,,,,,,,
01/01/06,GBR,GBP,Britain,1.88,0.566925563,3.316131998,0.05274,-0.05626,0,0.5162,1.54682,,,,,,,
01/01/06,HKG,HKD,Hong Kong,12,7.7512,1.548147384,-0.50852,-0.55941,-0.53315,-0.29216,0.18899,,,,,,,
01/01/06,HUN,HUF,Hungary,560,206.956,2.705889175,-0.14099,-0.22993,-0.18402,0.23719,1.07815,,,,,,,
01/01/06,IDN,IDR,Indonesia,14600,9460,1.543340381,-0.51005,-0.56078,-0.5346,-0.29435,0.1853,,,,,,,
01/01/06,JPN,JPY,Japan,250,114.305,2.187130922,-0.30567,-0.37756,-0.34046,0,0.67974,,,,,,,
01/01/06,KOR,KRW,South Korea,2500,977.45,2.557675584,-0.18804,-0.27211,-0.22872,0.16942,0.96432,,,,,,,
01/01/06,MEX,MXN,Mexico,28,10.5425,2.655916528,-0.15685,-0.24415,-0.19909,0.21434,1.03977,,,,,,,
01/01/06,MYS,MYR,Malaysia,5.5,3.7488,1.46713615,-0.53424,-0.58247,-0.55758,-0.3292,0.12677,,,,,,,
01/01/06,NZL,NZD,New Zealand,4.45,1.4467,3.075965992,-0.0235,-0.12461,-0.07242,0.40639,1.36237,,,,,,,
01/01/06,PER,PEN,Peru,9.5,3.446,2.756819501,-0.12482,-0.21544,-0.16866,0.26047,1.11726,,,,,,,
01/01/06,PHL,PHP,Philippines,82,52.58,1.559528338,-0.50491,-0.55617,-0.52971,-0.28695,0.19773,,,,,,,
01/01/06,POL,PLN,Poland,6.5,3.1151,2.086610382,-0.33758,-0.40617,-0.37077,-0.04596,0.60254,,,,,,,
01/01/06,RUS,RUB,Russia,46,28.67,1.604464597,-0.49065,-0.54339,-0.51616,-0.26641,0.23224,,,,,,,
01/01/06,SGP,SGD,Singapore,3.6,1.6353,2.20143093,-0.30113,-0.37349,-0.33614,0.00654,0.69072,,,,,,,
01/01/06,SWE,SEK,Sweden,33,7.7119,4.279101129,0.35844,0.21779,0.29039,0.95649,2.28639,,,,,,,
01/01/06,THA,THB,Thailand,60,39.755,1.50924412,-0.52087,-0.57048,-0.54488,-0.30994,0.15911,,,,,,,
01/01/06,TUR,TRY,Turkey,4.1,1.3365,3.067714179,-0.02612,-0.12696,-0.07491,0.40262,1.35603,,,,,,,
01/01/06,TWN,TWD,Taiwan,75,31.9495,2.347454577,-0.25478,-0.33194,-0.29211,0.0733,0.80287,,,,,,,
01/01/06,USA,USD,United States,3.15,1,3.15,0,-0.10354,-0.0501,0.44024,1.41923,,,,,,,
01/01/06,VEN,VEF,Venezuela,5900,2615.92,2.255420655,-0.28399,-0.35813,-0.31986,0.03122,0.73218,,,,,,,
01/01/06,ZAF,ZAR,South Africa,13.95,6.0803,2.294294689,-0.27165,-0.34707,-0.30814,0.049,0.76204,,,,,,,
05/01/06,ARE,AED,UAE,9,3.6726,2.450579971,-0.20949,-0.34945,-0.32824,0.09889,0.87318,,,,,,,
05/01/06,ARG,ARS,Argentina,7,3.0565,2.290201211,-0.26123,-0.39202,-0.3722,0.02697,0.75059,,,,,,,
05/01/06,AUS,AUD,Australia,3.25,1.33253,2.438969479,-0.21324,-0.35253,-0.33142,0.09368,0.8643,,,,,,,
05/01/06,BRA,BRL,Brazil,6.4,2.3045,2.777175092,-0.10414,-0.26275,-0.23871,0.24534,1.12282,,,,,,,
05/01/06,CAN,CAD,Canada,3.52,1.12045,3.141594895,0.01342,-0.166,-0.13881,0.40875,1.40138,,,,,,,
05/01/06,CHE,CHF,Switzerland,6.3,1.20885,5.21156471,0.68115,0.38351,0.42862,1.33697,2.98362,,,,,,,
05/01/06,CHL,CLP,Chile,1560,529.95,2.943673932,-0.05043,-0.21855,-0.19307,0.32,1.25009,,,,,,,
05/01/06,CHN,CNY,China,10.5,8.026,1.308248193,-0.57798,-0.6527,-0.64138,-0.41336,0,,,,,,,
05/01/06,COL,COP,Colombia,6500,2503.6,2.596261384,-0.1625,-0.31077,-0.2883,0.16422,0.98453,,,,,,,
05/01/06,CRI,CRC,Costa Rica,1130,509.535,2.217708303,-0.28461,-0.41127,-0.39207,-0.00554,0.69517,,,,,,,
05/01/06,CZE,CZK,Czech Republic,59.05,22.1078,2.671002994,-0.13839,-0.29093,-0.26781,0.19773,1.04166,,,,,,,
05/01/06,DNK,DKK,Denmark,27.75,5.81825,4.769475358,0.53854,0.26615,0.30743,1.13873,2.6457,,,,,,,
05/01/06,EGY,EGP,Egypt,9.5,5.77075,1.646233159,-0.46896,-0.56298,-0.54873,-0.2618,0.25835,,,,,,,
05/01/06,EUZ,EUR,Euro area,2.939573529,0.780365992,3.766916497,0.21513,0,0.0326,0.68916,1.87936,,,,,,,
05/01/06,GBR,GBP,Britain,1.94,0.531801744,3.647976002,0.17677,-0.03158,0,0.63583,1.78844,,,,,,,
05/01/06,HKG,HKD,Hong Kong,12,7.7533,1.547728064,-0.50073,-0.58913,-0.57573,-0.30597,0.18305,,,,,,,
05/01/06,HUN,HUF,Hungary,560,206.3444,2.713909367,-0.12455,-0.27954,-0.25605,0.21697,1.07446,,,,,,,
05/01/06,IDN,IDR,Indonesia,14600,9325,1.565683646,-0.49494,-0.58436,-0.57081,-0.29792,0.19678,,,,,,,
05/01/06,JPN,JPY,Japan,250,112.105,2.230052183,-0.28063,-0.40799,-0.38869,0,0.70461,,,,,,,
05/01/06,KOR,KRW,South Korea,2500,952.4,2.624947501,-0.15324,-0.30316,-0.28044,0.17708,1.00646,,,,,,,
05/01/06,LKA,LKR,Sri Lanka,190,102.955,1.845466466,-0.40469,-0.51009,-0.49411,-0.17246,0.41064,,,,,,,
05/01/06,MEX,MXN,Mexico,29,11.3031,2.565667826,-0.17237,-0.31889,-0.29669,0.1505,0.96115,,,,,,,
05/01/06,MYS,MYR,Malaysia,5.5,3.6295,1.515360242,-0.51117,-0.59772,-0.5846,-0.32048,0.15831,,,,,,,
05/01/06,NOR,NOK,Norway,43,6.1023,7.046523442,1.27307,0.87063,0.93163,2.1598,4.38623,,,,,,,
05/01/06,NZL,NZD,New Zealand,4.45,1.62101,2.745202065,-0.11445,-0.27123,-0.24747,0.231,1.09838,,,,,,,
05/01/06,PAK,PKR,Pakistan,130,60.055,2.164682374,-0.30172,-0.42534,-0.40661,-0.02931,0.65464,,,,,,,
05/01/06,PER,PEN,Peru,9.5,3.261,2.913216805,-0.06025,-0.22663,-0.20142,0.30634,1.22681,,,,,,,
05/01/06,PHL,PHP,Philippines,85,52.625,1.6152019,-0.47897,-0.57121,-0.55723,-0.27571,0.23463,,,,,,,
05/01/06,POL,PLN,Poland,6.5,3.09915,2.097349273,-0.32344,-0.44322,-0.42506,-0.05951,0.60317,,,,,,,
05/01/06,RUS,RUB,Russia,48,27.06375,1.773590134,-0.42787,-0.52917,-0.51382,-0.20469,0.3557,,,,,,,
05/01/06,SAU,SAR,Saudi Arabia,9,3.749,2.400640171,-0.2256,-0.3627,-0.34193,0.0765,0.835,,,,,,,
05/01/06,SGP,SGD,Singapore,3.6,1.5873,2.268002268,-0.26839,-0.39792,-0.37828,0.01702,0.73362,,,,,,,
05/01/06,SWE,SEK,Sweden,33,7.28455,4.530135698,0.46133,0.20261,0.24182,1.0314,2.46275,,,,,,,
05/01/06,THA,THB,Thailand,60,38.445,1.560671089,-0.49656,-0.58569,-0.57218,-0.30016,0.19295,,,,,,,
05/01/06,TUR,TRY,Turkey,4.2,1.5415,2.724618878,-0.12109,-0.2767,-0.25311,0.22177,1.08265,,,,,,,
05/01/06,TWN,TWD,Taiwan,75,32.141,2.333468156,-0.24727,-0.38054,-0.36034,0.04637,0.78366,,,,,,,
05/01/06,UKR,UAH,Ukraine,8.5,5.05,1.683168317,-0.45704,-0.55317,-0.5386,-0.24523,0.28658,,,,,,,
